id,method,factors,nobs,bias_withoutC_L2,bias_withoutC_L6,bias_withoutC_L8,bias_withoutC_L12,bias_withoutC_Ti8.b,bias_withoutC_Ti12.b,bias_withoutC_C1,bias_withoutC_Errvar2,bias_withoutC_Errvar6
1,DWLS,2,200,-7.400871131114761,12.61748292267917,3.4864915449346197,7.289911251603831,8.78448378958718,15.096921549677699,1.173187962018004,22.7738113976325,-25.341167470305315
2,DWLS,2,200,-15.242862981049377,19.598116137302,-15.437117499814384,-5.630945867425001,7.52698620998299,13.8304207961405,5.861212305728336,14.11281531831223,-21.038240123113436
3,DWLS,2,200,-7.7011699803921365,35.885335309294994,4.863885735469364,11.09870740557234,-7.52698620998299,-1.2533469508069301,27.54420158712334,39.322443121540296,-46.33752119261626
4,DWLS,2,200,5.778086355753498,44.38231834199733,0.3894940283862419,-4.029848803390339,-1.2533469508069301,3.76082876612559,46.54608239872601,19.339264064398336,-39.87573513556001
5,DWLS,2,200,17.420518333006367,15.940403464519509,4.113446664932741,6.189614446045174,3.76082876612559,-2.50689082587111,94.99783942665901,12.714390129792791,-16.33331496540047
6,DWLS,2,200,2.813737698732499,32.58715740128601,-0.21516918761338433,3.3552767924403355,-7.52698620998299,-5.01535834647335,27.816215509020342,-1.6741664447038804,-29.050651022574847
7,DWLS,2,200,-2.3296096558206303,25.883666738048007,-20.28087579345901,4.993208484480668,3.76082876612559,1.2533469508069301,-25.543093158779335,-0.280127298641106,-23.708678578360633
8,DWLS,2,200,0.5036224548344986,20.958503689631666,2.9196255801103717,-2.4071930481568233,-2.50689082587111,-7.52698620998299,47.67778593107301,-18.053956599218328,-40.98933275109984
9,DWLS,2,200,-12.49157608393775,34.96933224400017,11.032936878135988,1.7113996996521719,-12.566134685507398,1.2533469508069301,-9.66642894427533,48.70902058786363,-36.863294455934685
10,DWLS,2,200,-2.8558699745606235,13.713014804454177,-1.7413282305726308,3.782282451667174,-11.3038540644565,2.50689082587109,18.181354979094344,-6.492609372571103,-29.118648709074062
11,DWLS,2,200,-3.606061516377129,27.893685548001336,2.283595649573117,-3.831329451360166,25.33471031358,-2.50689082587111,21.120577467947008,20.574210139201387,-32.25881413138343
12,DWLS,2,200,-5.027549543489634,30.442610147307335,1.84014911530625,-6.5199914421373295,-5.01535834647337,1.2533469508069301,27.013560190342012,26.580062260442787,-26.518934388900007
13,DWLS,2,200,-14.051550488997755,20.859064213819334,7.6342661911881216,-18.099358718499158,2.50689082587111,3.76082876612559,59.07296966451335,39.558660043499735,-45.69996711615844
14,DWLS,2,200,4.81305016733162,29.36873414653851,5.364482009382499,7.487241452135011,0,11.3038540644565,5.314251584469336,-4.313083537722775,-22.390013535596406
15,DWLS,2,200,2.1833120024077473,23.0075067359,7.749898909003364,3.405363516112666,0,-17.6374164780861,26.434250757101672,22.68086035928445,-37.11696090738922
16,DWLS,2,200,-18.020308539263134,19.749961195229666,5.942958281694749,-0.36521132952715973,-2.50689082587111,-3.76082876612559,7.933443789432337,22.32429548992973,-40.604218279600154
17,DWLS,2,200,2.3397470320952465,34.03696832855817,8.350608253657368,6.941580292616009,-2.50689082587111,-2.5068908258711002,19.196242239749346,3.137582945962506,-48.388075958080314
18,DWLS,2,200,5.517087323876499,18.652065483009167,0.6710386521782408,-7.596170753775833,-1.2533469508069301,2.50689082587111,24.881358851125007,-3.3144184810549966,-41.33161563126422
19,DWLS,2,200,-10.719029262940257,27.705181536433,5.033670715477126,-16.702458513994834,-1.2533469508069301,8.78448378958718,8.586287169378334,8.436584338739724,-36.564227949738125
20,DWLS,2,200,-8.140722298878508,42.70347809377101,4.219678564241866,7.203378563499008,-1.2533469508069301,-7.52698620998298,37.40410020322001,21.495768675285834,-27.78749007772297
21,DWLS,2,200,2.6849372496143693,19.535406907522663,2.255128080424246,5.9103878495220075,-7.52698620998299,8.78448378958715,2.3252756169030073,25.809356562741943,-11.776138918031567
22,DWLS,2,200,-14.391761328029384,34.87598960720034,7.6423824652255,-11.132665964635672,-2.50689082587111,-7.52698620998299,30.10216839425134,9.842842862573885,-49.48212958471641
23,DWLS,2,200,1.6376397098064877,19.941530317219662,-9.904558467288883,-15.304157125389334,-7.52698620998299,12.566134685507398,27.98441461776467,5.683490878677783,-28.518547924586567
24,DWLS,2,200,-4.419458763983752,36.75276584894884,-1.2888286148052541,13.027056222816007,-1.2533469508069301,1.2533469508069301,29.258113253854006,-2.5038689075230587,-28.021467387355315
25,DWLS,2,200,-14.078787234303253,12.076274576272676,-2.947359667346383,0.353009499745501,1.2533469508069301,-16.3658486233141,24.138271284069663,15.63139327848639,-44.23618073435891
26,DWLS,2,200,-17.212665174334134,11.48780974173467,0.13159393850124823,-8.292904586233663,1.2533469508069301,-2.50689082587111,15.918368861973342,18.26118629335029,-22.636958193731097
27,DWLS,2,200,-15.57459449222763,8.133968572200667,-12.883485546177505,-0.7150011519948356,-8.78448378958719,17.6374164780861,-17.854871312474664,34.97381936476918,-24.08638276322735
28,DWLS,2,200,-11.902146439929636,62.063313880873686,-3.5601920281125023,1.576024929033341,-7.52698620998299,-3.76082876612558,47.174582713945,20.955969420312222,-53.19195673369078
29,DWLS,2,200,-11.34131494457713,12.892767548827678,0.6165435114104945,3.422035922619508,-6.27067779432138,-5.01535834647337,-19.296019383397663,10.599756817834447,-25.255196198099693
30,DWLS,2,200,8.79530110417949,38.43434286779651,-0.8502148083918831,8.094256336518335,0,-8.78448378958718,52.993999589240005,-16.921517462487216,-32.42318174647594
31,DWLS,2,200,-0.3344816453832583,17.365427009428668,4.6487772913651195,1.4086482722019955,-15.096921549677699,-2.50689082587111,3.5697406953966726,4.58491801448945,-21.149014485827028
32,DWLS,2,200,5.3056853089678695,17.403769762098676,5.239800934073988,-0.18143746241015374,-12.566134685507398,1.2533469508069301,32.13771390650501,-8.953846997823053,-22.161545002880313
33,DWLS,2,200,-22.862348820348004,2.901070514348662,-1.3010919727515087,5.974838455044837,5.01535834647337,5.01535834647337,16.675600236433663,13.247787519643337,-40.70890658999031
34,DWLS,2,200,2.0233913468644946,4.433472637890845,2.7801643287137385,-4.385010958971666,-3.73507079060295e-15,8.78448378958718,18.793044597681995,-12.01756450454638,-12.184198722833289
35,DWLS,2,200,-8.892759589058011,27.736471707408505,-0.457845370810131,-4.619338731852496,-2.50689082587111,0,53.78149577204,23.750120299485285,-33.125632865703594
36,DWLS,2,200,3.45937648421675,22.363483721543844,-0.4797396418178834,19.199089412206845,-5.01535834647337,-10.043372051147,-14.766419066585657,0.08662426072860965,-24.261725530688754
37,DWLS,2,200,3.4209627545513657,16.031998751012672,-9.942657431573506,-5.596425934485838,-12.566134685507398,-1.2533469508069301,-19.955677904362,-14.727257089133051,-24.58920885251078
38,DWLS,2,200,6.839845752185117,25.65507595676501,-10.476340590330382,-6.45600728383966,-2.50689082587111,-12.566134685507398,84.24241013070801,-14.172714572763612,-32.91345130179391
39,DWLS,2,200,-4.106802463341511,21.758208691698496,2.5356224204402396,-15.38206787473449,0,-1.2533469508069301,32.929384845083675,-9.131901722413328,-19.481122791110156
40,DWLS,2,200,1.1462796296151239,32.2208232144755,0.197380797319624,9.979830122943179,-5.01535834647337,-2.50689082587111,3.0902633570303317,13.480105251027775,-34.81957508649406
41,DWLS,2,200,7.884410601847247,29.56019684732351,-3.753566737894634,-3.477076998024335,-2.50689082587111,1.2533469508069301,-8.207431695007669,10.633996530674725,-27.865277783109686
42,DWLS,2,200,14.049415944820495,18.986425983985498,0.8316516161641224,10.523399376635176,-17.6374164780861,6.27067779432138,-16.14087181203533,4.830592899449448,-17.71301216593453
43,DWLS,2,200,-6.731117964121874,12.104569820054664,-3.6113097105401337,-21.150447400349158,5.01535834647337,11.3038540644565,43.63241840348033,2.5683679629777876,-11.310792505777808
44,DWLS,2,200,-3.090537156337003,13.871455605209343,4.0264074324232455,-0.7677013744480007,-2.50689082587111,8.78448378958718,1.6106109360066734,-29.24179598942555,-30.00941519091875
45,DWLS,2,200,2.247137096515375,17.75645789365251,-4.652315027280377,-15.44347375898699,0,-5.01535834647337,24.699670923304662,-19.26643409108805,-28.117065772047184
46,DWLS,2,200,-19.78405544640875,14.650278506814496,-2.085513619523499,8.987554896407346,5.01535834647336,12.566134685507398,31.854216760481336,1.0267933441952815,-27.897470186071715
47,DWLS,2,200,-6.692759114098001,29.768189104015168,7.867092965843869,-2.2486039315308313,-15.096921549677699,-8.78448378958717,16.912635916187007,14.488316090781945,-23.13037122674875
48,DWLS,2,200,-0.9769150259177489,12.330212553647339,-6.908383925406381,-13.169041948817,-6.27067779432138,-2.50689082587111,14.736996757202675,-13.832987847497225,-28.1669758639975
