id,method,factors,nobs,bias_withC_L_SE2,bias_withC_L_SE6,bias_withC_L_SEa,bias_withC_L_SE8,bias_withC_L_SE12,bias_withC_T_SEi8.b,bias_withC_T_SEi12.b,bias_withC_C_SE1,bias_withC_Errvar_SE2,bias_withC_Errvar_SE6
77,DWLS,2,200,-1.1709552924730944,-1.1621096977652186,-1.185945012996819,-1.2341023216221374,-2.129991118048432,-2.0929295118785927,-2.2282668515381006,-1.5881381742818077,-1.217965632753236,-1.1376862569241557
78,DWLS,2,200,-1.9803491027426547,-0.605855675952019,-0.33308073964851903,-0.7403391166652777,-0.7134369882010425,-2.0908995774786723,-2.244499222500741,-1.8952610690448672,-1.0495049380206456,-0.4928373729217658
79,DWLS,2,200,-0.3993053156720841,-0.9058501526817885,-0.07432581311669906,-0.7653970812258777,-1.8612074818779225,-2.0997975599344616,-2.207863390087171,-2.0331820669216674,0.010655706831343842,-0.013712066220825797
80,DWLS,2,200,-1.1368057396207838,-1.0575451922812693,-0.924793484686899,0.22059660605183232,-0.04566738605583237,-2.1113030389296017,-2.2086243460357604,-1.1931227079023574,0.3153085623095041,-0.5972173306312458
81,DWLS,2,200,-2.7946725935080345,-1.6892179309543085,-1.6380919209951585,-0.8007597959059871,-1.9896906394270726,-2.0929295118785927,-2.220077612173131,-2.4884345459342976,-2.111737133811506,-1.7517979791907765
82,DWLS,2,200,-1.3997317739292838,-0.9749444619139992,-1.423041618217679,-0.9264991085050273,-1.5123987457057224,-2.0916605334272615,-2.2331469266985318,-1.512027830949627,0.1560237372811142,-0.668876777793826
83,DWLS,2,200,-1.7850011392759233,-1.2977014041303283,-1.4410745594387189,-0.8975303687363372,-0.7739682860603323,-2.0908995774786723,-2.2282668515380912,-1.6405722229558668,-1.7589737030991563,-0.905265826843106
84,DWLS,2,200,-2.1070969470000733,-0.9590445595059983,-0.7546853793591393,-1.0694788546027776,-1.4153864835256817,-2.0929295118785816,-2.233146926698541,-1.508281318931968,-1.5008963021008763,-1.4287570115860264
85,DWLS,2,200,-1.4725141964900637,-1.0718114248637285,-0.8376068609153791,-1.2809316478719677,-0.32321378775455184,-2.0908995774786723,-2.216761372542951,-1.5505093481883176,0.2903658155804144,-1.2076060807458857
86,DWLS,2,200,-1.6343046247446833,-1.6099622529914988,-1.4970123604316896,-0.47332928880176733,-0.8652838602611824,-2.096996290361122,-2.2116714050776616,-1.242366123942707,-0.8323063566444862,-2.1034393247930563
87,DWLS,2,200,-1.7891990192724534,-2.1105676703822693,-2.0679403594674386,-1.0511990404871976,-1.2889665369690224,-2.103113799564632,-2.208624346035741,-0.8950893531365266,-1.7887104967648462,-1.4434232955877466
88,DWLS,2,200,-1.4927024835104434,-2.2144083698851382,-1.7703863040061392,-1.044372141724787,-1.2447123245636023,-2.103113799564632,-2.2239116701173414,-1.8449985254682173,-1.3297193625095765,-1.031120463552406
89,DWLS,2,200,-0.3797671666717739,-1.1361183976291982,-0.997054739083409,-1.6528930317314277,-1.3410306925679725,-2.1031137995646225,-2.213960102969631,-1.6890047813151379,-0.7517966505278459,-0.7168171201850662
90,DWLS,2,200,-0.24418406235827417,-2.0329128910688894,-1.3092854818065887,-1.0582574146835277,-0.4083818182425425,-2.0997975599344616,-2.213960102969631,-1.4236333589523567,-0.3193413259838761,-0.9965651542289462
91,DWLS,2,200,-2.0068638916665336,-0.666017971248549,-0.7060979649405288,-0.09586489834550738,-0.9203495380572219,-2.0969962903611012,-2.216761372542951,-1.6048779077603972,-0.6965677021993161,-0.023550499655285856
92,DWLS,2,200,-1.1699088617295037,-0.191424365653569,-0.8119656846046291,-0.14165260192420745,-1.1738094738232723,-2.111303038929592,-2.2655865180190418,-0.6760220229510471,-0.6269954648659357,0.026731099680243897
93,DWLS,2,200,-1.2296950436634444,-2.1636152890473195,-2.563130184058709,-0.2475150589697772,-0.8597596517293922,-2.094707592469151,-2.2086243460357506,-1.713178147122337,-0.32319258919189586,-1.106921223693256
94,DWLS,2,200,-1.510543902470734,-0.974857669727549,-0.3310525877927892,0.2123266680514123,-0.9975515299737725,-2.1275354098922326,-2.207863390087181,-1.108970213206157,-0.6802958241051156,-0.325506579759996
95,DWLS,2,200,-1.2091432491815344,-1.9241789833912386,-1.8256508713655493,-0.38751485134159713,-1.4438882745580424,-2.0997975599344523,-2.233146926698541,-1.667971698914498,-0.31171102891006597,-2.5571557214257856
96,DWLS,2,200,-0.4372286035743342,-1.7979694215853084,-1.2080311501120593,-1.1420866356949575,-0.7304170292898121,-2.0997975599344523,-2.2167613725429707,-1.7404601996453266,-0.41605544610679585,-1.8691357318346564
97,DWLS,2,200,-1.8894131583853244,-1.3442901064013684,-0.932657218393499,-0.5014506968681873,-1.0665128230810519,-2.1275354098922423,-2.2116714050776616,-1.2419407243651572,-1.0227762546218058,-0.48028139079991583
98,DWLS,2,200,-1.1270846604755538,-1.267546183467328,-1.5896153417654484,-1.5225328409706078,-1.2155435209682819,-2.0916605334272615,-2.220077612173141,-0.8325216802293873,-0.7853391428452858,-0.7429600176512862
99,DWLS,2,200,-1.6925565883733236,-1.7100098513031494,-1.4554722100263893,-0.6858393147947575,-0.2572787952479824,-2.0997975599344616,-2.213960102969631,-1.2800962793270068,-1.0026313526906063,-1.1422414504153662
100,DWLS,2,200,-1.1384819744662538,-1.325898870096879,-0.9965492328093788,-0.39345892066036736,-0.33926236495157236,-2.0929295118785816,-2.207863390087171,-0.9712254567150074,-0.4121651854235256,-0.9937116917317259
101,DWLS,2,200,-2.923884489008944,-2.4689276116981884,-2.0332434333579985,-1.3097817693848872,-1.3467186935952224,-2.134017587584182,-2.220077612173141,-0.9483828861112077,-2.1793718670775455,0.011089583724663982
102,DWLS,2,200,-1.4468530603747636,-1.0985106080147182,-0.528558648172079,-0.3576504080183972,-1.0675461284902523,-2.0908995774786723,-2.2282668515380912,-1.6022487616619472,-0.6062888924109562,-0.42606812895326573
103,DWLS,2,200,-0.5614922909162336,-1.231991691671199,-0.8654416370530688,0.11223868265835268,-2.354392871429203,-2.1031137995646416,-2.2086243460357506,-1.1441395903448177,-0.022877200513765628,-0.3458707536413558
104,DWLS,2,200,-2.400014418176024,-1.0890712555626882,-1.6288862837583997,-1.2373509730434176,-1.039722389908932,-2.092929511878572,-2.2086243460357604,-0.9305645491711874,-1.215070562105066,-0.2708474514247758
105,DWLS,2,200,-1.048413169196704,-0.8277481889560887,-1.413971389206279,-0.07587280750465733,-0.3816495924823124,-2.1567587130071812,-2.2139601029696405,-1.678849859850238,-0.8360416046640861,-1.8730158745132452
106,DWLS,2,200,-1.0447916528013939,-1.850493640054119,-1.5065875503664192,-0.8643059161646274,-1.004822473908512,-2.0929295118785816,-2.2282668515380717,-0.8731979802882879,-0.27671792977460585,-1.0478270183450558
107,DWLS,2,200,-1.0969276452796044,-2.2347434631415983,-1.863353641418069,-0.7703595690219077,-0.752111641537382,-2.090645997297262,-2.2139601029696117,-0.8352523804989971,-1.2867615426041257,-0.7092038306755859
108,DWLS,2,200,-1.1895670932287938,-0.8308401739280991,-0.9048026849073388,-0.29794376748829776,-1.133640981750602,-2.0929295118785927,-2.2076098099057404,-1.9609058750870274,-0.5096397290565359,-0.207708514118006
109,DWLS,2,200,-2.1051792338615547,-1.322860038253349,-0.6818824795524293,-0.1908963695407176,-0.21348149416785187,-2.121592327761862,-2.2116714050776505,-1.5568380426732273,0.23148422931889429,-0.22850949147657576
110,DWLS,2,200,-1.9496073974767734,-2.2536805345216093,-2.6639897654236293,-0.2350502523393673,-0.7975695023018419,-2.1275354098922326,-2.2737225256156806,-0.05241787658850708,-0.8440006153356862,-0.4662987874369959
111,DWLS,2,200,-1.9625083803713936,-1.526599641741088,-0.9938306560516287,0.3048888209987624,-1.7706169967013525,-2.094707592469151,-2.2076098099057515,-1.4091262715908972,-1.1631871467657957,-1.645498483380936
112,DWLS,2,200,-1.5251966592039943,-1.4442994921343981,-1.1589645319046091,-0.8924389227648377,-1.2723613436440822,-2.0916605334272727,-2.2116714050776407,-1.9220488135083473,-1.7324166419136353,-1.6485854851019957
113,DWLS,2,200,-2.3223963495190243,-1.3824713916794191,0.3130130034436712,-0.07345594701802724,-1.3541600148813422,-2.1031137995646416,-2.2078633900871614,-1.4079035667318072,-0.22913793385396578,-0.6909483741325662
114,DWLS,2,200,-0.955480846419464,-1.8352944853098887,-2.3455213878722394,-0.8215110254947076,-1.3192709811674321,-2.1161831140900325,-2.2116714050776505,-0.6191969030170476,-0.21539595659028563,-1.1920715923224559
115,DWLS,2,200,-0.8834614188169637,-1.2410444348271883,-0.6959231105200192,-1.3140143297418576,-1.2874270196200224,-2.1161831140900422,-2.2282668515380815,-1.5344468037182277,0.8136443007862939,-0.291550075226376
116,DWLS,2,200,-1.9316934348721442,-2.496938306868559,-1.6873874348720694,-0.8118092094782571,-1.0153577708648622,-2.0997975599344616,-2.2385561403703416,-1.7093271119480176,-0.981198229382136,-3.0606780201198154
117,DWLS,2,200,-2.2449529484483235,-2.113566164687929,-1.6961911240293497,-0.4927089076808472,-1.0964529054261125,-2.092929511878572,-2.220077612173131,-1.2014722938306375,-0.4220101552080656,-0.33621125171230604
118,DWLS,2,200,-1.4721240322735134,-0.6786182355611486,-0.6893698343853693,-1.8007945623829373,-1.6079967358675125,-2.0916605334272518,-2.2282668515380815,-1.8105197792465868,-1.5948848606960053,-0.681736455852986
119,DWLS,2,200,-1.2636280144367442,-1.8420037400888287,-1.3301639382537485,-0.5230143494637678,-0.9653094761476522,-2.0929295118785927,-2.2385561403703416,-2.0408989365403674,0.42769312031293444,-1.8550817374208064
120,DWLS,2,200,-1.1623893995399843,-1.1384713420984092,-1.3674946503452585,-0.8571792165349577,-0.7428795459457321,-2.0997975599344714,-2.2824237979373105,-1.5701047750355572,0.16082753806694397,-1.2155745766494161
121,DWLS,2,200,-2.6481264347275233,-1.6571858341825083,-1.2182264022600593,-0.46371361600098737,-1.0959955936216021,-2.1113030389296017,-2.2086243460357604,-1.685281308817737,-0.18475256403039583,-1.4924938994308758
122,DWLS,2,200,-0.9895648603697842,-1.4562769734155385,-1.2352020776444088,-1.2509152390470977,-0.8466465202554223,-2.103113799564632,-2.2200776121731103,-1.7405192014003665,0.2388497312188438,-1.2625280489067963
123,DWLS,2,200,-2.0929679144241033,-1.635884010559859,-1.0900426242118086,-0.43062703489360754,-0.802804645340352,-2.111303038929582,-2.207863390087171,-1.0930950689689474,-1.1614940162788163,-1.2013010792229057
124,DWLS,2,200,-1.7609226467710146,-1.2221648770193585,-1.346627979025989,-0.7431056903909772,-0.6818111818890221,-2.1486227054105522,-2.2331469266985318,-1.332454899734368,-0.9748112346155462,-0.7988612329665461
