id,method,factors,nobs,ncat,bias_withC_L6,bias_withC_La,bias_withC_L7,bias_withC_Ti6,bias_withC_Ti7,bias_withC_C1
1,DWLS,2,200,2,17.47133651058967,-42.19433881811101,2.48006967701174,5.01535834647337,-3.76082876612559,-14.454189372715662
2,DWLS,2,200,2,-24.5080666813975,86.8016935727415,4.03044600646775,2.50689082587111,-5.01535834647337,-32.701992407815666
3,DWLS,2,200,2,-4.553414229528504,38.626450728246496,-18.379505108404512,3.76082876612559,0,-1.745941941754999
4,DWLS,2,200,2,16.376205006151,2.5557296037554966,1.2165246775501237,-5.01535834647337,11.3038540644565,44.90834055997367
5,DWLS,2,200,2,-26.0624961351365,-17.5100934950525,-4.196477147604627,-2.50689082587111,7.52698620998299,64.76676359813335
6,DWLS,2,200,2,-0.6201494031560044,-49.11050788527,2.2332718137103718,5.01535834647337,-7.52698620998299,58.21789654398868
7,DWLS,2,200,2,3.5075137401600065,-4.261209740376512,8.699858155680126,2.50689082587111,7.52698620998299,-2.409827912725001
8,DWLS,2,200,2,-5.560638620249155,38.76618724984549,-6.449992928102749,5.01535834647337,-7.52698620998299,35.61099155955735
9,DWLS,2,200,2,-0.1313242516564987,-9.83986359187651,-2.4940637871267572,-18.9118426272792,2.50689082587111,-48.210086886490004
10,DWLS,2,200,2,-12.101754193744837,36.269941636495,11.333589294767368,8.78448378958718,-6.27067779432138,6.0529885899666684
11,DWLS,2,200,2,4.260437015619178,35.518015123486485,6.2125512626468735,5.01535834647337,6.27067779432138,-16.616707301129335
12,DWLS,2,200,2,-10.812723324779672,62.434403325642485,-4.415586460981877,-7.52698620998299,-3.76082876612559,39.67136312171967
13,DWLS,2,200,2,-28.4549499824175,63.964643130823006,0.1859787546211189,3.76082876612559,-2.50689082587111,4.216364479198672
14,DWLS,2,200,2,31.345014857310005,-48.361050571203,9.737494925952369,6.27067779432138,8.78448378958718,-29.41123673093533
15,DWLS,2,200,2,-1.4892532875904938,53.72907503726798,9.663705235750497,-18.9118426272792,-7.52698620998299,-5.615083426961339
16,DWLS,2,200,2,4.637826803535343,-0.9041751261500003,-8.059624707577512,13.8304207961405,6.27067779432138,-17.124506437202
17,DWLS,2,200,2,-12.191032960162495,85.2818096649845,4.239965215033864,-2.50689082587111,0,12.707921496505998
18,DWLS,2,200,2,19.352726669073007,-34.471565923542,2.382628114924748,-1.2533469508069301,0,12.120798228895335
19,DWLS,2,200,2,9.04525163896384,-25.0226635089425,7.61094612988962,8.78448378958718,-17.6374164780861,2.046115685019334
20,DWLS,2,200,2,24.376911686352162,-64.05869429771927,9.986822874633248,0,-11.3038540644565,58.58382258592767
21,DWLS,2,200,2,-5.897933526620158,-47.494182373455004,1.7224348255733686,12.566134685507398,-3.76082876612559,-0.749872852236988
22,DWLS,2,200,2,11.126141673439838,-8.634273989242006,-6.484013723900631,-16.3658486233141,5.01535834647337,46.55518155072334
23,DWLS,2,200,2,7.324470592985337,-33.006932077106505,-4.104430812957874,-8.78448378958718,1.2533469508069301,18.054689786258333
24,DWLS,2,200,2,-11.3892032742585,39.42341511837499,-16.44583552051776,-1.2533469508069301,-6.27067779432138,7.907850834889005
25,DWLS,2,200,2,-5.9321028829300015,-0.023407586109511214,6.514588347673364,-3.76082876612559,11.3038540644565,3.1366540264963403
26,DWLS,2,200,2,-24.044904051332168,27.513155413104005,10.375120599821,-18.9118426272792,0,-6.628409295266999
27,DWLS,2,200,2,-11.267955767736002,-35.56972455590801,-4.6300696550530125,-12.566134685507398,13.8304207961405,-39.208082522243664
28,DWLS,2,200,2,18.949722843389843,-47.151572609418004,3.6167592010432488,-2.50689082587111,11.3038540644565,20.297653693322
29,DWLS,2,200,2,-7.605738602673995,60.0886442819645,5.584886654726243,-13.8304207961404,-7.52698620998299,-36.30386799109466
30,DWLS,2,200,2,6.395037693882665,-39.639513093020504,-1.7287904635885087,2.50689082587111,2.50689082587111,29.723999583643007
31,DWLS,2,200,2,-5.854642480712158,13.182742883296989,13.660303737762987,-2.50689082587111,-11.3038540644565,-8.81231073893966
32,DWLS,2,200,2,13.890119312306512,-65.8119720133824,-20.670766295835875,-2.50689082587111,-3.76082876612559,33.37977815759201
33,DWLS,2,200,2,1.2602353274775067,6.074031896047494,-0.2510083959273851,-16.3658486233141,-1.2533469508069301,8.386963109941341
34,DWLS,2,200,2,-3.9049368688609905,12.260926663529501,8.90457013290162,8.78448378958718,2.50689082587111,-24.420611290867996
35,DWLS,2,200,2,19.74627121572033,-111.63908186434406,7.378166665420988,1.2533469508069301,6.27067779432138,36.863147650632
36,DWLS,2,200,2,8.256025628776513,-9.889223185626502,13.558737700886988,16.3658486233141,-16.3658486233141,-9.83194370836967
37,DWLS,2,200,2,-0.5170291720283382,-68.60331215208026,-0.6035865997492534,10.043372051147,-17.6374164780861,-23.05637616471833
38,DWLS,2,200,2,-13.131934545899671,28.598442765540995,10.847807442090366,-7.52698620998299,-7.52698620998299,78.91642884157866
39,DWLS,2,200,2,-12.870437886543002,74.8597228805985,-4.186872233254757,-12.566134685507398,2.50689082587111,22.032926501791007
40,DWLS,2,200,2,-2.4701986478813387,20.594007022053994,-7.09386798310388,1.2533469508069301,-15.096921549677699,1.7450400817083378
41,DWLS,2,200,2,11.736009973667176,22.891529718283497,5.122830711467366,3.76082876612559,-2.50689082587111,-52.36300050905134
42,DWLS,2,200,2,3.0235410668495075,-38.41379622005,4.63113245314524,-13.8304207961404,0,-19.285349189970667
43,DWLS,2,200,2,-3.3459467398144946,-56.029876707826595,-16.570851561828636,2.50689082587111,6.27067779432138,50.062998235163015
44,DWLS,2,200,2,0.4493627679011773,23.720899746403997,8.30839305231075,-5.01535834647337,-7.52698620998299,9.763819307158343
45,DWLS,2,200,2,-22.957686919886164,65.52357585979797,9.470492313973747,7.52698620998299,1.2533469508069301,22.856341331046675
46,DWLS,2,200,2,-4.248835531499666,-7.705119619862505,0.5058886713998761,-7.52698620998299,12.566134685507398,16.775226066724343
47,DWLS,2,200,2,4.759683020130671,-65.68744550891665,4.0259025815897465,-11.3038540644565,6.27067779432138,1.6998502556930066
48,DWLS,2,200,2,-21.6445158085155,1.3180576004514917,3.120341861458625,-6.27067779432138,5.01535834647337,12.174380549730339
