id,method,factors,nobs,ncat,bias_withoutC_L_SE6,bias_withoutC_L_SE7,bias_withoutC_T_SEi6,bias_withoutC_T_SEi7,bias_withoutC_C_SE1
69,PML,2,200,2,-1.847280174099515,-2.6036479607168497,-2.2119573482015706,-2.157308486282192,-2.2538343033286736
70,PML,2,200,2,-1.8400326566824345,-2.4639110763498895,-2.161861906460241,-2.1439301812887517,-1.9432671633661345
71,PML,2,200,2,-1.4350593316135751,-2.9113490221637397,-2.193200608639602,-2.140026142560551,-2.659734517089854
72,PML,2,200,2,-1.8377090521857153,-0.9058160740733692,-2.1781184650619414,-2.168959160228602,-1.902126665442233
73,PML,2,200,2,-3.671942910570884,-2.4877518164792294,-2.2121607778299217,-2.146619837226052,-3.597240239934443
74,PML,2,200,2,-2.9024819008272043,-0.6490468692080996,-2.1873009177382814,-2.139918724373481,-1.8682761755136044
75,PML,2,200,2,-3.082274173019464,-1.4561641308952697,-2.165093771111791,-2.1455368548374514,-2.892984602586003
76,PML,2,200,2,-2.5394747994464146,-3.3014676687469295,-2.162070472598572,-2.197147030140471,-2.3397871715081537
77,PML,2,200,2,-3.663100711484314,-3.332760701037089,-2.211880362925002,-2.149777466989042,-5.320959330614544
78,PML,2,200,2,-2.104823517048354,-2.1474686779904593,-2.1675801496320717,-2.1746591628306113,-2.7445294337872643
79,PML,2,200,2,-2.7635805551654653,-2.67728080418434,-2.1600091027081216,-2.145621817755722,-3.349973648832494
80,PML,2,200,2,-3.5581038265181055,-2.3211909648849396,-2.167854551627271,-2.1450755352217117,-3.527987732269644
81,PML,2,200,2,-2.4556833478708753,-3.757041354070449,-2.175907543130741,-2.1390204594678512,-3.1988749789193833
82,PML,2,200,2,-1.746365130791655,-1.8309227432890194,-2.1687095047840015,-2.138523560371201,-2.4918629749021344
83,PML,2,200,2,-1.9784987007170254,-2.07093183695027,-2.1621976288878617,-2.1440678367419017,-2.700813829212814
84,PML,2,200,2,-1.791384740087025,-2.4779215232424696,-2.183472853072642,-2.220862209455152,-2.015059996040504
85,PML,2,200,2,-0.975892357583355,-0.6195546488014791,-2.183267790526841,-2.161202451044561,-1.9536654454249944
86,PML,2,200,2,-1.8053219052016443,-2.37356035491567,-2.1614079654750915,-2.1442276073190216,-2.8392435581797937
87,PML,2,200,2,-1.796329299801855,-2.867224591125439,-2.1774346942185314,-2.147114060230282,-3.4267719277944435
88,PML,2,200,2,-2.509412177996495,-2.01994966260754,-2.1684049092707216,-2.139032547607092,-3.2051130369649337
89,PML,2,200,2,-2.4727749638491545,-0.06288080664730925,-2.1657330050003516,-2.143621353184122,-2.0198169075477432
90,PML,2,200,2,-2.339697696155875,-2.31266883218232,-2.1646755276346714,-2.1643186381792217,-2.9084340457555244
91,PML,2,200,2,-1.2515115279139746,-0.8811425011301798,-2.1639269155484806,-2.1403922659953207,-2.868926858906473
92,PML,2,200,2,-3.316139670104465,-2.01139138794558,-2.163795312493101,-2.140535373944631,-3.4793024490586437
93,PML,2,200,2,-1.784893056203185,0.6640534491953509,-2.161339048095412,-2.163767048174782,-2.9061129337936737
94,PML,2,200,2,-2.2590363992311344,-1.7238269250275093,-2.1680999371814518,-2.144801336788302,-2.4812322468233936
95,PML,2,200,2,-1.5468566925012348,-1.2337448479701196,-2.1937442988722413,-2.142328619917791,-2.265089757257714
96,PML,2,200,2,-2.0883702000931246,-2.6713239341991493,-2.182249009191421,-2.2229738208702514,-3.432732422114944
97,PML,2,200,2,-3.9898556130962244,-1.6417464040075693,-2.1682750448181616,-2.136456419565051,-3.290858667105123
98,PML,2,200,2,-0.8457332331072944,-2.6815046463648793,-2.1630086316431414,-2.141013809484242,-3.4272616024675435
99,PML,2,200,2,-2.6164979888680344,-0.9326684544816992,-2.1634196992717207,-2.173437767699672,-3.0214352079245446
100,PML,2,200,2,-1.8362342990354343,-2.5312467260682188,-2.171347463003902,-2.1396045795363916,-2.232643004743863
101,PML,2,200,2,-3.0831436153522045,-0.9356182982441494,-2.2998756037668615,-2.155955935206451,-3.763188955708044
102,PML,2,200,2,-3.1492832160612854,-0.07618423665731941,-2.167841443552862,-2.145164421917271,-2.510956121093094
103,PML,2,200,2,-0.511832151132665,-1.0138220415175994,-2.163295682791401,-2.1388283859295516,-2.2378722348905034
104,PML,2,200,2,-1.7893433655886846,-0.6913023567820191,-2.167819074029101,-2.140456454600491,-2.315657005861174
105,PML,2,200,2,-1.7959592802604147,-3.1559985084001,-2.1646565568583216,-2.155645043257151,-3.1394274741914434
106,PML,2,200,2,-1.3999830171341945,-1.6024640522661893,-2.181153331229481,-2.1890391947016323,-1.833158355574814
107,PML,2,200,2,-2.2183235887883943,-3.194501051494329,-2.1630573210351614,-2.141506259942531,-3.4914669634359434
108,PML,2,200,2,-2.3219428124200943,-1.9977046793951194,-2.166109506276001,-2.162609615483642,-3.177297609543564
109,PML,2,200,2,-1.3585517516690349,-2.030494584998699,-2.1633134465271513,-2.1409055614999812,-2.368539741206993
110,PML,2,200,2,-0.4998308340885348,-1.4723319996574196,-2.176017655014041,-2.1407891842492424,-1.968473272572384
111,PML,2,200,2,-1.5903261260601154,-2.72939438200398,-2.288977543718261,-2.1367819994821318,-3.310262426995794
112,PML,2,200,2,-3.8468724926590743,-1.0547212330942697,-2.163248061505031,-2.150639417110002,-2.922426161225093
113,PML,2,200,2,-1.4132236701699343,-2.2361460563519895,-2.165690181535751,-2.174449909604431,-1.8399670736633844
114,PML,2,200,2,-2.5466796759239547,-4.7439970261230595,-2.1665148410788815,-2.144187430096371,-3.2115035178527735
115,PML,2,200,2,-1.6857729755377941,-1.7708821265766894,-2.164133503809351,-2.144848072570131,-3.0784746287101443
116,PML,2,200,2,-3.4810534356029157,-2.397536691232109,-2.1699714443877416,-2.140619380328511,-2.784336665239033
117,PML,2,200,2,-1.7456951675688752,-2.8898349853598795,-2.221522846141391,-2.1379584930239117,-2.727129894071234
118,PML,2,200,2,-3.429224082317875,-2.2970138640965088,-2.160938936693241,-2.151195068303012,-2.656101617004314
119,PML,2,200,2,-0.8127435724983645,-1.2532010677708996,-2.165251138149002,-2.195037280090621,-3.082229559399363
120,PML,2,200,2,-1.547303038805195,-1.5813071073483593,-2.204294345856371,-2.1521598748654918,-2.2834873280871735
121,PML,2,200,2,-2.920639269672805,-2.4345088945427293,-2.1656925589845013,-2.1368161904456713,-2.4884347405706233
122,PML,2,200,2,-4.7302654478095745,-2.7196936295943495,-2.186506672099342,-2.164234346013812,-4.403310222142544
123,PML,2,200,2,-2.7708469030886653,0.13723218701662057,-2.176901736314871,-2.141106558817692,-2.538775705000694
124,PML,2,200,2,-0.7931770369767548,-3.7239680754753492,-2.1621189843280915,-2.138606562829061,-2.7855585614049243
125,PML,2,200,2,-1.1290576131245746,-1.2232165479228396,-2.186332797208332,-2.206503988499131,-2.3074187965887143
126,PML,2,200,2,-1.4967640146901842,-1.2040111489924095,-2.1832903237220815,-2.1415753106049413,-1.3431471166011635
127,PML,2,200,2,-1.6230653342711454,-2.76731246105255,-2.1639203390410406,-2.164045887255471,-3.1333404688009434
128,PML,2,200,2,-2.0561907113966145,-2.472392178655679,-2.1638624577209513,-2.138395509916112,-3.045526791625634
129,PML,2,200,2,-3.287113701516105,-2.1516499339697694,-2.161864114705471,-2.2439118154459314,-3.213548718437123
130,PML,2,200,2,-1.269547381783445,-0.2629897755539595,-2.170546359574262,-2.1492962600014707,-2.907263631148524
131,PML,2,200,2,-2.8927456764009847,-3.0125094743232994,-2.168158595553882,-2.1409049856374915,-3.328064276351554
132,PML,2,200,2,-2.2808120308704645,-1.1602611396726894,-2.1983305129287714,-2.140887430555341,-2.6697663578793938
133,PML,2,200,2,-1.6979303293840051,-2.7555599038723995,-2.161071083327912,-2.142725127909681,-3.4465280184430442
134,PML,2,200,2,-1.1961740590388446,-1.4145629650959592,-2.1936750588295513,-2.1909151680607515,-3.164219754974784
135,PML,2,200,2,-2.033312148539995,-0.13594123842277928,-2.174467225435302,-2.1801396334722014,-2.2691584738466735
136,PML,2,200,2,-1.9166130858599153,-1.1976671946351298,-2.1606576504168515,-2.1373062012822115,-2.6618989085156834
137,PML,2,200,2,-4.396855214512454,-1.5442622727928597,-2.2452557283999615,-2.197288005623331,-3.082115934027094
138,PML,2,200,2,-2.523469113823784,-3.47032015970514,-2.1641924142791007,-2.142603555545301,-2.371757982486114
139,PML,2,200,2,-2.0991255230598442,-2.5844131052887493,-2.1629852642868417,-2.144861790577732,-1.8384820403151343
140,PML,2,200,2,-1.7055115418471447,-0.6631812318974494,-2.167374092633531,-2.1403899787280816,-2.2022755577152537
141,PML,2,200,2,-2.2144486686791947,-1.7574828507047195,-2.164540905260441,-2.2049426001365613,-3.2049646680320345
142,PML,2,200,2,-2.8834919517719744,-0.0538641897993096,-2.1710860043586617,-2.1399159894924122,-2.320953458967803
143,PML,2,200,2,-2.1092148795632455,-2.40469132784866,-2.1649187296548815,-2.142299000132791,-2.3438158496399533
144,PML,2,200,2,-1.659074180771415,-3.18196212831426,-2.161405840460852,-2.145185127828131,-3.866637246521444
145,PML,2,200,2,-2.317630933456964,-3.834672067838149,-2.1647342640793115,-2.141343812284961,-2.3514048315228244
146,PML,2,200,2,-1.6225965278694354,-1.3380637744992097,-2.192268095630011,-2.151759855556132,-2.8738497398197533
147,PML,2,200,2,-1.160172320512065,-0.10883387235161926,-2.1798828239187715,-2.1391335306893215,-1.7860923821168841
148,PML,2,200,2,-2.5557338658433544,-2.4718980103717687,-2.202987381859352,-2.1542059412987715,-2.7931629583988844
149,PML,2,200,2,-2.7380680253629954,-1.3852307499530592,-2.1915420461379007,-2.150792684563342,-2.6341553793698442
150,PML,2,200,2,-2.716270783589984,-1.8085368684492196,-2.1633781850817115,-2.1393076253120618,-2.3986185361517336
151,PML,2,200,2,-2.1707629987394643,-1.7289712474243595,-2.1717114294302506,-2.1727198517882016,-1.852904823979913
152,PML,2,200,2,-3.585420828235865,-0.5862859702076694,-2.1613838203599913,-2.2167721128929716,-3.150273161052923
153,PML,2,200,2,-2.5108262556635856,-1.4284103101254892,-2.1633065721872207,-2.140924685556521,-3.468532578484644
154,PML,2,200,2,-2.711406738622074,-2.437747319342,-2.162018468116192,-2.1596769842840717,-4.043539343764843
155,PML,2,200,2,-3.1761416373296854,-1.7678728523161096,-2.1862641788765416,-2.1437606592070613,-3.348455529176704
156,PML,2,200,2,-1.839508305433725,-2.50546962892218,-2.170793451408622,-2.1389051991275316,-4.132038155649743
157,PML,2,200,2,-2.0953140439443643,-3.1971294349986095,-2.1620154984727318,-2.1448371670463513,-2.871926679573114
158,PML,2,200,2,-2.2226923718537046,-1.5391938719350593,-2.173807401341192,-2.2327640413678616,-2.7310623585478337
159,PML,2,200,2,-1.6655644434452652,-1.2963532897639893,-2.182402656617441,-2.1354347994388316,-2.6620283101043736
160,PML,2,200,2,-1.8875335476934942,-1.5822556914091492,-2.1618920970393307,-2.149552669939371,-2.582835059753144
161,PML,2,200,2,-1.4314003352294256,-0.9859818280056596,-2.162535246871221,-2.132577084253691,-2.4140839129071834
162,PML,2,200,2,-3.6019804523685943,-1.7179586676380891,-2.162255818165891,-2.1762637218072407,-3.8920081365250434
163,PML,2,200,2,-3.2021549589440244,-1.6242789059474092,-2.1779212539263417,-2.176198263121391,-2.998485507504414
164,PML,2,200,2,-2.5859472374783143,-1.2133591179185894,-2.173447390593422,-2.144470749708631,-2.365834545053494
165,PML,2,200,2,-1.0289196293459049,-0.015092467000019094,-2.1646524643853318,-2.144686847387922,-1.2838958595616832
166,PML,2,200,2,-1.267094659935085,-0.7734928763485492,-2.1773120304396016,-2.1371299126350216,-3.1040534641845046
167,PML,2,200,2,-2.524448518795515,-1.9167921218199393,-2.164787977961312,-2.1638354112046314,-3.7955078560393445
168,PML,2,200,2,-2.0557402127459543,-1.889316220676819,-2.1630110263416618,-2.1385977619704217,-3.033705484193694
169,PML,2,200,2,-1.9196899237545542,-2.1503431544709795,-2.163128998249411,-2.1390171113548613,-2.6426412317453742
170,PML,2,200,2,-4.286067658349426,-1.7320879238064997,-2.173157928280421,-2.153076947739692,-3.8141457378060433
171,PML,2,200,2,-1.6249605184633642,-2.0843749256306996,-2.1690707280034514,-2.134133356946581,-2.461898926228484
172,PML,2,200,2,-1.3757044029996446,-1.83023078872986,-2.1692991951119107,-2.137770798932022,-3.204004620239294
173,PML,2,200,2,-1.3906287144862348,-3.7790454943825393,-2.163279858922551,-2.1415890882193924,-4.010010431188944
174,PML,2,200,2,-2.9169639000101153,-2.07744207328648,-2.204615707628961,-2.160169171095161,-2.506566513951214
175,PML,2,200,2,-1.4766579671715547,-2.832724059225089,-2.1781906230946806,-2.1422785983692516,-1.6207467371480142
176,PML,2,200,2,-2.4887239348521955,-2.472974168261019,-2.1605795920540514,-2.165573573049062,-3.1312756231274843
177,PML,2,200,2,-2.9389476244886152,-2.6023748249778986,-2.1674880856073315,-2.1486458772220414,-2.874532410809194
178,PML,2,200,2,-1.1602606881959145,-2.555694094653699,-2.162529295769551,-2.140043296521882,-1.4991668409545134
179,PML,2,200,2,-2.6426469827028147,-1.84518952390903,-2.198926910072041,-2.140396851922302,-1.7536511109226134
180,PML,2,200,2,-1.9895407653438044,-0.5729490342198197,-2.161319982487331,-2.141466104678512,-2.1364338812248143
181,PML,2,200,2,-3.0208351229911847,-1.505939248256529,-2.1625687184438607,-2.1395331852567714,-3.2720984059239635
182,PML,2,200,2,-1.2113341329557854,-2.68160270476889,-2.188669045862672,-2.190001238616411,-1.3785913834827135
183,PML,2,200,2,-2.2206691537107153,-2.61554738648334,-2.1675848745238815,-2.1379886661479217,-1.4578135149103832
184,PML,2,200,2,-1.420415435736634,-2.2110638399475495,-2.183183614210592,-2.137432953806412,-3.355485017527424
185,PML,2,200,2,-1.2744393098955946,-0.5559022739524591,-2.174730185855661,-2.153070594623932,-2.491763230372483
186,PML,2,200,2,-3.2279682673825247,-0.5674652139655192,-2.164746672560622,-2.141481759253551,-2.784629137582474
187,PML,2,200,2,-2.3230704260552946,-0.8326566884718091,-2.163694854604492,-2.1646621139723212,-2.1133691446841336
188,PML,2,200,2,-2.5394883143770253,-0.2847154545920494,-2.161759791373262,-2.140520471361482,-2.6970805755020146
189,PML,2,200,2,-1.6355199955137345,-1.4769939260658498,-2.1642879124144616,-2.156575704348401,-3.0786200268153237
190,PML,2,200,2,-2.4956396611571243,-2.249244082787219,-2.1617267490447607,-2.1403582794843516,-3.018529786636934
191,PML,2,200,2,-2.978100011691505,-2.165124375262019,-2.1635198334297416,-2.1386717828559014,-1.4807806633872642
192,PML,2,200,2,-2.849042236182725,-1.7301369057657494,-2.1734108293709116,-2.1590946556141217,-3.4064965355086434
193,PML,2,200,2,-2.512960101639415,-1.0518664787088892,-2.2055022556369015,-2.1518111806205606,-2.8545625582428737
194,PML,2,200,2,-1.9333230962402443,-2.9275766984146188,-2.169011396578391,-2.145651529226922,-3.3102246608512536
195,PML,2,200,2,-2.3079570386957444,-1.9813043957783993,-2.175967282945711,-2.139806781286671,-2.1971874356446044
196,PML,2,200,2,-2.027004163904515,-2.0202620527890596,-2.211621067272201,-2.1441108845377017,-2.993093075977153
197,PML,2,200,2,-2.920334752769074,-2.92523778005413,-2.1611546576316516,-2.140942528318561,-3.454115402142943
198,PML,2,200,2,-1.7078690549079942,-3.8432537726504403,-2.161131917358021,-2.142200375063162,-2.6460130073779844
199,PML,2,200,2,-2.568628233072695,-1.5779841097444292,-2.300837002085851,-2.151124720935381,-2.6901923284850944
200,PML,2,200,2,-1.3658450520662848,-4.049007847178439,-2.193099210769561,-2.1408721066647414,-2.1798864328426233
201,PML,2,200,2,-2.8361431963398243,-1.8633713320165195,-2.1626371484244817,-2.1801599413576915,-3.9004338836042445
202,PML,2,200,2,-1.6351268346513848,0.6376158350167305,-2.1724324906843213,-2.1511535056890922,-1.8829340217520336
203,PML,2,200,2,-2.2052911921146947,-2.7762131566753503,-2.1645989584309717,-2.1386496563836315,-3.114077118145764
204,PML,2,200,2,-1.7042392504288142,-1.4177097930010991,-2.2127933468753107,-2.141380393985812,-2.040199208770904
205,PML,2,200,2,-2.8979156526300747,-1.875811599101429,-2.1642460610451915,-2.1499206938598414,-3.2562089982812332
206,PML,2,200,2,-1.542029798916014,-3.689243512354269,-2.168519032210081,-2.155113148901301,-2.9965435012986235
207,PML,2,200,2,-2.1268315173591152,-0.25246379557249954,-2.163090923167811,-2.140582738831001,-2.743259359335114
208,PML,2,200,2,-2.294147349908135,-2.319242723421819,-2.1660345206378313,-2.160677822726792,-3.2312115830860746
209,PML,2,200,2,-2.859216456474045,-1.7846068091499196,-2.1610155140318206,-2.1473892310045315,-3.506252183459943
210,PML,2,200,2,-1.3831577083685542,-2.941307543073779,-2.182773416520652,-2.142762231465371,-2.671313961687004
211,PML,2,200,2,-2.6581337598515846,-1.2501282659622894,-2.160395785259371,-2.181276456821521,-2.4805222111148035
212,PML,2,200,2,-2.0776235511902845,-1.7550538150112296,-2.166324287564092,-2.137285548191481,-4.188591871230443
213,PML,2,200,2,-2.476048292628245,-2.3654398853568694,-2.1781213849575516,-2.1361202006174613,-1.5201807146454736
214,PML,2,200,2,-1.8646532803817741,-2.3764073805788195,-2.161442150330581,-2.1592651916517616,-2.250171878427523
215,PML,2,200,2,-3.4469624050271443,-2.1576218507714087,-2.211087698798442,-2.139025025386872,-3.926046779924344
216,PML,2,200,2,-2.9619382956208153,-2.6690024338811194,-2.1633022275078213,-2.1548094000369318,-2.786601592523033
217,PML,2,200,2,-1.5818580409629954,-2.769855290867429,-2.1659193377980417,-2.175421945315882,-2.242095118731434
218,PML,2,200,2,-3.547666255580975,-2.566510530345069,-2.1779039893740317,-2.219602979442131,-2.9462104497085737
219,PML,2,200,2,-2.2684518851078943,-0.1425473253618796,-2.1636789606081006,-2.135537049482862,-2.6620405286287743
220,PML,2,200,2,-2.826450293155784,-0.013248398367869674,-2.1977541484700716,-2.153433702412862,-2.5725065304716246
221,PML,2,200,2,-2.317872509846455,-2.20910490863446,-2.1584050689088516,-2.139998042378531,-3.5279130202948443
222,PML,2,200,2,-3.5009301064960154,-1.1685294108227093,-2.1610977308081507,-2.139428332155852,-4.069470515271243
223,PML,2,200,2,0.014234800213415444,-1.1460243831222294,-2.163993523044641,-2.1439686760410317,-1.880959639225774
224,PML,2,200,2,-1.4594215013559453,-2.1810113503753796,-2.1632698099311414,-2.168256521552371,-2.5203035520250343
225,PML,2,200,2,-0.6263514561188149,-2.316442610448159,-2.165238527184961,-2.144296695678531,-1.9752802281086432
226,PML,2,200,2,-5.313866529678604,-2.8553729139217388,-2.162124460354592,-2.1389928391666717,-4.145528071809644
227,PML,2,200,2,-1.2289619509042753,-3.83335237730474,-2.1784191787047615,-2.189055215717621,-3.1210484014981237
228,PML,2,200,2,-1.9851260541267555,-0.8542661236841192,-2.168495412633452,-2.183093201165272,-3.0225468427713937
229,PML,2,200,2,-2.6020772842403352,-2.01953449378169,-2.1713004068927106,-2.1488283617736013,-3.1517147187092434
230,PML,2,200,2,-1.7898977717015652,-1.9571212262323099,-2.205960195417822,-2.169560893461321,-2.730194127265234
231,PML,2,200,2,-3.1930487858808143,-2.3987159970188494,-2.167795169449091,-2.146172872509461,-4.008653715420643
232,PML,2,200,2,-4.610497364756194,-1.336113879007919,-2.163561047572951,-2.141633348171182,-3.6501292512508443
233,PML,2,200,2,-1.104269036238905,-0.7984552594580696,-2.1642186468253706,-2.1513591229702813,-2.7313331904635545
