id,method,factors,nobs,ncat,bias_withoutC_L6,bias_withoutC_L7,bias_withoutC_Ti6,bias_withoutC_Ti7,bias_withoutC_C1
1,DWLS,2,200,2,25.60688979289668,2.44331297750712,5.01535834647337,-3.76082876612559,-6.172703821431665
2,DWLS,2,200,2,3.1098407589078376,4.986061963664495,2.50689082587111,-5.01535834647337,-4.047453051248336
3,DWLS,2,200,2,24.83268080740218,-18.682864936424,3.76082876612559,0,21.326201930121343
4,DWLS,2,200,2,40.109094464693335,1.2635393753059887,-5.01535834647337,11.3038540644565,60.151771499043015
5,DWLS,2,200,2,-4.472580595457503,-4.238773980897129,-2.50689082587111,7.52698620998299,71.60139843129134
6,DWLS,2,200,2,11.414378403141171,2.124470839149739,5.01535834647337,-7.52698620998299,63.073698401942345
7,DWLS,2,200,2,19.861235083041993,9.067120705334371,2.50689082587111,7.52698620998299,11.483353230338
8,DWLS,2,200,2,24.97558004840583,-6.533313630891879,5.01535834647337,-7.52698620998299,54.072455916836674
9,DWLS,2,200,2,9.999058880252672,-2.553518423575887,-18.9118426272792,2.50689082587111,-33.193997821252665
10,DWLS,2,200,2,13.731474548348165,11.358304774777867,8.78448378958718,-6.27067779432138,25.236644753890335
11,DWLS,2,200,2,24.958804406791675,6.211567046920871,5.01535834647337,6.27067779432138,3.7825818928053367
12,DWLS,2,200,2,30.796416404435334,-4.75968144398263,-7.52698620998299,-3.76082876612559,65.94698637697269
13,DWLS,2,200,2,10.343618663279672,-0.28464814806800076,3.76082876612559,-2.50689082587111,30.999032890312012
14,DWLS,2,200,2,37.25464401531901,9.843202910052376,6.27067779432138,8.78448378958718,-21.567485444493663
15,DWLS,2,200,2,24.86907588107168,9.701967655327993,-18.9118426272792,-7.52698620998299,16.738192611204
16,DWLS,2,200,2,19.964428888200842,-7.386262226281762,13.8304207961405,6.27067779432138,-2.1086078394370045
17,DWLS,2,200,2,28.6956702564245,4.616472626570001,-2.50689082587111,0,43.50088595484035
18,DWLS,2,200,2,30.837106513960343,2.3343402991629905,-1.2533469508069301,0,21.03605282123868
19,DWLS,2,200,2,21.701372232470337,7.56611197562225,8.78448378958718,-17.6374164780861,11.759520126494671
20,DWLS,2,200,2,32.8108936269985,9.991787520922113,0,-11.3038540644565,62.97000727900867
21,DWLS,2,200,2,2.8053870410295056,1.1569375669724935,12.566134685507398,-3.76082876612559,5.373069474026345
22,DWLS,2,200,2,32.56558006406684,-6.5184081890165,-16.3658486233141,5.01535834647337,59.26051057424502
23,DWLS,2,200,2,20.309927686348335,-3.762204237323499,-8.78448378958718,1.2533469508069301,27.081326700331665
24,DWLS,2,200,2,14.937704756576336,-15.505065591668254,-1.2533469508069301,-6.27067779432138,26.439786506602005
25,DWLS,2,200,2,14.304469424939331,6.9333544836056165,-3.76082876612559,11.3038540644565,18.873605633932332
26,DWLS,2,200,2,3.101683618406496,10.66326774491512,-18.9118426272792,0,13.289396910254345
27,DWLS,2,200,2,-3.308649630292667,-5.0148458183352504,-12.566134685507398,13.8304207961405,-29.485470624594328
28,DWLS,2,200,2,29.045748509304175,3.6517507397052507,-2.50689082587111,11.3038540644565,27.555907834725
29,DWLS,2,200,2,18.811942738869345,6.240947151560622,-13.8304207961404,-7.52698620998299,-6.139796663167996
30,DWLS,2,200,2,18.68285529268384,-1.5617668698612586,2.50689082587111,2.50689082587111,36.86615417899967
31,DWLS,2,200,2,13.242573174209832,13.80675348685012,-2.50689082587111,-11.3038540644565,6.658431116040013
32,DWLS,2,200,2,20.767811085593667,-20.82631870484025,-2.50689082587111,-3.76082876612559,37.377137754468016
33,DWLS,2,200,2,24.84235895466301,0.16717952045637585,-16.3658486233141,-1.2533469508069301,28.903552785401672
34,DWLS,2,200,2,11.332774721136678,8.89276707812249,8.78448378958718,2.50689082587111,-9.756778402907655
35,DWLS,2,200,2,17.324701277805165,7.3846697228416165,1.2533469508069301,6.27067779432138,35.58529834550733
36,DWLS,2,200,2,23.201765508263843,13.72978163990124,16.3658486233141,-16.3658486233141,3.8064189487513334
37,DWLS,2,200,2,3.6683812565855107,-0.36414661650925606,10.043372051147,-17.6374164780861,-19.163168425503326
38,DWLS,2,200,2,21.06618236367134,10.936550176073991,-7.52698620998299,-7.52698620998299,92.74413709300235
39,DWLS,2,200,2,26.646722191492834,-4.590408584213127,-12.566134685507398,2.50689082587111,51.85321972423233
40,DWLS,2,200,2,19.42189124899433,-6.9542135473911335,1.2533469508069301,-15.096921549677699,20.30014546407834
41,DWLS,2,200,2,22.967058391503002,5.077115431590867,3.76082876612559,-2.50689082587111,-33.03269946259533
42,DWLS,2,200,2,12.101397871938,4.598652716772622,-13.8304207961404,0,-10.631222807917322
43,DWLS,2,200,2,7.314376999269678,-16.48175069381551,2.50689082587111,6.27067779432138,55.09719503312635
44,DWLS,2,200,2,28.781919647236847,8.067656069905615,-5.01535834647337,-7.52698620998299,34.132734564474006
45,DWLS,2,200,2,16.000109396540175,9.902016659886243,7.52698620998299,1.2533469508069301,46.607186645778675
46,DWLS,2,200,2,15.437470356301331,0.8021835377097497,-7.52698620998299,12.566134685507398,30.80969482169801
47,DWLS,2,200,2,11.194215566277995,3.937178655859741,-11.3038540644565,6.27067779432138,6.587661577002672
48,DWLS,2,200,2,-1.8934230470946667,3.5497168069409946,-6.27067779432138,5.01535834647337,23.71395354408201
49,DWLS,2,200,2,9.458249070847673,4.6434632310509985,-20.1893479141851,-7.52698620998299,21.88127265751233
50,DWLS,2,200,2,3.931464051308342,-3.6797220770810046,-10.043372051147,1.2533469508069301,-21.833104517569332
51,DWLS,2,200,2,12.72537144110551,-0.44746980531562563,-15.096921549677699,-8.78448378958718,-14.474788048616333
52,DWLS,2,200,2,36.98883578346484,1.2686491558783763,11.3038540644565,12.566134685507398,61.49479023075302
53,DWLS,2,200,2,25.011861368848848,-1.6082934218490108,7.52698620998299,2.50689082587111,25.540061677011007
54,DWLS,2,200,2,16.575694119944846,10.872107888273613,5.01535834647337,3.76082876612559,4.941581374498664
55,DWLS,2,200,2,-2.7477142005321586,-11.988948988214135,3.76082876612559,11.3038540644565,-33.259627552792324
56,DWLS,2,200,2,23.55056920877983,3.874568094857367,-10.043372051147,8.78448378958718,28.63579274867034
57,DWLS,2,200,2,39.253336961986,-1.2083587557648738,13.8304207961405,6.27067779432138,30.879564763858003
58,DWLS,2,200,2,28.171895188201844,-2.5670320263719986,0,0,82.79651854889435
59,DWLS,2,200,2,27.61274111661033,-8.48728833375688,5.01535834647337,-5.01535834647337,74.90889634544567
60,DWLS,2,200,2,7.361931865520329,-4.233916119341874,8.78448378958718,-2.50689082587111,-11.186201829198994
61,DWLS,2,200,2,7.517175734657008,-2.458957564567002,2.50689082587111,-15.096921549677699,28.997654286469
62,DWLS,2,200,2,8.700950111393842,-15.267654580708252,-2.50689082587111,-8.78448378958718,64.67907547671801
63,DWLS,2,200,2,6.1268018517441725,0.7541095646864948,-7.52698620998299,-1.2533469508069301,-14.876049430848989
64,DWLS,2,200,2,19.23626110748583,9.654470845438745,-8.78448378958718,5.01535834647337,-1.2966923598943247
65,DWLS,2,200,2,24.52346754585834,0.4066591469607389,-3.76082876612559,-2.50689082587111,62.847405987219
66,DWLS,2,200,2,18.07402144558218,-16.400630703177,-2.50689082587111,1.2533469508069301,59.46094796171002
67,DWLS,2,200,2,45.280225083841664,-9.253760713069381,3.76082876612559,10.043372051147,55.08336254339068
68,DWLS,2,200,2,25.378522119211677,-15.557171061996375,2.50689082587111,-13.8304207961404,-16.728135749253997
69,DWLS,2,200,2,21.990529021611678,-4.673905381619131,17.6374164780861,-11.3038540644565,27.360739144188667
70,DWLS,2,200,2,19.22902327309284,-4.824255239308128,-1.2533469508069301,-5.01535834647337,34.74326461230933
71,DWLS,2,200,2,22.7091455874745,-0.846655881989386,13.8304207961405,3.76082876612559,24.188812790984006
72,DWLS,2,200,2,16.598950604719498,17.17493169493636,-10.043372051147,-13.8304207961404,23.682860617368334
73,DWLS,2,200,2,1.6318413955823305,3.2989382189151235,-17.6374164780861,-7.52698620998299,-1.313745673012993
74,DWLS,2,200,2,7.3835977567336775,7.621749393962748,12.566134685507398,1.2533469508069301,42.75483799004234
75,DWLS,2,200,2,6.6091111895991705,4.436675544024868,5.01535834647337,6.27067779432138,14.276452896009337
76,DWLS,2,200,2,15.559796791563162,-18.011635770078747,-1.2533469508069301,18.9118426272792,53.50827256616368
77,DWLS,2,200,2,17.268233691829504,-2.145696253227261,-17.6374164780861,-7.52698620998299,-69.53998010813993
78,DWLS,2,200,2,23.397826578156163,-6.671745468422377,5.01535834647337,15.096921549677699,13.133989418925335
79,DWLS,2,200,2,16.382641073517,-7.31171494460238,2.50689082587111,-6.27067779432138,24.04752268282867
80,DWLS,2,200,2,-1.4778036446123264,1.939819990654998,-6.27067779432138,6.27067779432138,-9.005422517162003
81,DWLS,2,200,2,13.265002697946004,-15.824825431447254,-10.043372051147,-2.50689082587111,-3.0787780036163337
82,DWLS,2,200,2,19.12599925559433,-3.539531767610751,-6.27067779432138,0,8.117791410597672
83,DWLS,2,200,2,14.832071599387339,-0.2225603601358761,0,-5.01535834647337,-15.183358805756997
84,DWLS,2,200,2,22.492165217338673,6.36466789909762,-11.3038540644565,-22.754497664115,46.484092440151
85,DWLS,2,200,2,37.20082289612468,15.150611891277741,11.3038540644565,11.3038540644565,65.92997501034233
86,DWLS,2,200,2,19.920389073575667,6.463251183136745,0,5.01535834647337,57.59991061550901
87,DWLS,2,200,2,24.06115234048867,-5.672648398046626,10.043372051147,7.52698620998299,-11.159693924904994
88,DWLS,2,200,2,11.808391047511838,0.4413682888823739,6.27067779432138,-1.2533469508069301,33.28266640890401
89,DWLS,2,200,2,15.604985516549672,15.331466777017495,5.01535834647337,-6.27067779432138,63.84556313943067
90,DWLS,2,200,2,7.278412133598164,3.710464269934613,-5.01535834647337,12.566134685507398,-14.015972145727659
91,DWLS,2,200,2,26.14482094977768,10.247656341722742,-5.01535834647337,-5.01535834647337,-10.698539757472666
92,DWLS,2,200,2,4.245333454010162,-1.8061899074227616,-3.76082876612559,2.50689082587111,-8.415974094022339
93,DWLS,2,200,2,19.862669883676006,13.523485010336373,0,-11.3038540644565,-4.88532580307266
94,DWLS,2,200,2,15.30391933983318,-1.4015789078612588,-6.27067779432138,6.27067779432138,12.656327955339663
95,DWLS,2,200,2,24.114747399194503,6.78034705989812,-13.8304207961404,-3.76082876612559,24.525108248645346
96,DWLS,2,200,2,12.564433017672332,-1.9949920597407549,11.3038540644565,22.7544976641149,34.92173939014367
97,DWLS,2,200,2,15.013921608443503,-2.3948676326530083,-6.27067779432138,-1.2533469508069301,30.59836196077367
98,DWLS,2,200,2,27.318539645667162,-9.465498673992753,0,-2.50689082587111,-6.051178845151995
99,DWLS,2,200,2,20.269760867334007,9.450371878448868,3.76082876612559,-15.096921549677699,14.870872733960336
100,DWLS,2,200,2,17.244224145585168,3.328391129953992,-7.52698620998299,3.76082876612559,63.36047679843334
101,DWLS,2,200,2,13.778494503677003,2.5823071376724904,29.2374896226804,10.043372051147,-55.379772430240656
102,DWLS,2,200,2,4.387098061926165,9.095351648653994,-6.27067779432138,-6.27067779432138,33.01946449078634
103,DWLS,2,200,2,33.97651079866417,3.9497602729461208,2.50689082587111,2.50689082587111,41.37794987592734
104,DWLS,2,200,2,23.972832416256846,13.784071185329621,-6.27067779432138,2.50689082587111,13.965649234155997
105,DWLS,2,200,2,23.28916447175783,-18.03211790444226,2.50689082587111,10.043372051147,15.016719096839346
106,DWLS,2,200,2,24.34527243074917,0.0762198597106245,11.3038540644565,17.6374164780861,43.25064636299901
107,DWLS,2,200,2,18.412238592815175,-9.255598361064502,-2.50689082587111,5.01535834647337,-17.833484655152
108,DWLS,2,200,2,20.794763770161172,-5.910661944742129,-6.27067779432138,-12.566134685507398,15.26000227788967
